codigo,nome_do_curso,acertos_do_primeiro,acertos_do_ultimo,total_de_vagas,ano
211.0,engenharia sanitaria e ambiental,81.82,64.46,63.0,2009
102.0,farmacia,76.04,54.56,91.0,2009
329.0,filosofia  noturno,64.59,40.7,26.0,2009
328.0,filosofia  vespertinonoturno,65.96,43.98,26.0,2009
2.0,fisica  bacharelado  diurno,81.37,45.37,38.0,2009
225.0,fisica  licenciatura  noturno,64.03,34.02,52.0,2009
331.0,geografia  diurno,68.88,50.15,28.0,2009
332.0,geografia  noturno,68.04,45.89,28.0,2009
326.0,historia  diurno,71.32,49.51,31.0,2009
327.0,historia  noturno,61.68,43.72,31.0,2009
415.0,jornalismo,84.6,66.82,42.0,2009
